family,method,num_settings,mean_final_acc_across_settings,mean_best_acc_across_settings,mean_final_loss_across_settings
MNIST,AsyncSAM+RMS,5,96.84400000000001,97.976,0.12065370532989501
MNIST,AsyncSGD,1,89.28,89.69,0.3713
MNIST,AsyncSGD+RMS,5,91.918,96.88,1.2243242834472654
MNIST,FedAsync,5,82.852,86.22200000000001,0.6258211511230469
MNIST,FedBuff,5,89.55000000000001,90.796,0.35665426483154294
MNIST,FADAS,5,96.34,96.498,0.12147608123779297
MNIST,CA2FL,5,84.42999999999999,87.782,0.5297632141113281
MNIST,AsyncSGD constant,5,93.48800000000001,94.23800000000001,0.21403791320800783
CIFAR-10 ResNet18,AsyncSAM+RMS,4,90.12700000000001,90.2375,0.38458797824859614
CIFAR-10 ResNet18,AsyncSGD,4,86.0685,86.21875,0.510755107421875
CIFAR-10 ResNet18,FedAsync,4,86.13900000000001,86.2805,0.5097856581878661
CIFAR-10 ResNet18,FedBuff,4,84.195,86.5215,0.5341525505065918
CIFAR-10 ResNet18,FADAS,4,83.16775,84.3915,0.5101571424865723
CIFAR-10 ResNet18,CA2FL,4,63.7575,66.883,1.0474392121887206
CIFAR-10 ResNet18,AsyncSGD constant,4,88.526,88.65299999999999,0.4533281050109863
CIFAR-10 ResNet32,AsyncSAM+RMS,4,89.71849999999999,89.86825,0.3439773372650146
CIFAR-10 ResNet32,AsyncSGD,4,86.89250000000001,87.05449999999999,0.4308379086303711
CIFAR-10 ResNet32,FedAsync,4,86.76925000000001,86.95824999999999,0.4340289348602295
CIFAR-10 ResNet32,FedBuff,4,83.97325000000001,85.418,0.48799090263366696
CIFAR-10 ResNet32,FADAS,4,83.23975,84.45774999999999,0.5094726483154297
CIFAR-10 ResNet32,CA2FL,4,56.927749999999996,59.726,1.2344772793579102
CIFAR-10 ResNet32,AsyncSGD constant,4,86.88475,87.04325,0.4307054627227783
CIFAR-10 ResNet56,AsyncSAM+RMS,4,90.45275000000001,90.60749999999999,0.3332680397415161
CIFAR-10 ResNet56,AsyncSGD,4,87.602,87.7415,0.4244945944213867
CIFAR-10 ResNet56,FedAsync,4,87.64475,87.78225000000002,0.42310318832397464
CIFAR-10 ResNet56,FedBuff,4,84.84224999999999,85.95125,0.46459894279479974
CIFAR-10 ResNet56,FADAS,4,82.54325,83.9635,0.5279788130950929
CIFAR-10 ResNet56,CA2FL,4,57.030499999999996,58.927,1.217474989013672
CIFAR-10 ResNet56,AsyncSGD constant,4,87.62724999999999,87.78675,0.4244693756866455
CIFAR-100 ResNet18 300e RA+RE+LS,AsyncSAM+RMS,4,74.7885,75.11325000000001,1.0355229524230958
CIFAR-100 ResNet18 300e RA+RE+LS,AsyncSGD,4,74.16,74.34,1.1678898109436036
CIFAR-100 ResNet18 300e RA+RE+LS,FedAsync,4,74.22825,74.3755,1.166335339050293
CIFAR-100 ResNet18 300e RA+RE+LS,FedBuff,4,68.4035,69.8205,1.3283367263793946
CIFAR-100 ResNet18 300e RA+RE+LS,FADAS,4,62.98575,64.48675,1.3968660284423826
CIFAR-100 ResNet18 300e RA+RE+LS,CA2FL,4,57.036,58.52425,1.6303160348510743
CIFAR-100 ResNet18 300e RA+RE+LS,AsyncSGD constant,4,74.16625,74.366,1.1688843957519532
CIFAR-100 ResNeXt29-8x16d 200e,AsyncSAM+RMS,4,76.7365,76.93350000000001,0.9914689518737791
CIFAR-100 ResNeXt29-8x16d 200e,AsyncSGD,4,71.06275,71.30324999999999,1.1489129251098633
CIFAR-100 ResNeXt29-8x16d 200e,FedAsync,4,74.676,74.88425,1.0716516130065918
CIFAR-100 ResNeXt29-8x16d 200e,FedBuff,4,70.8545,72.16375,1.147714153289795
CIFAR-100 ResNeXt29-8x16d 200e,FADAS,4,66.19250000000001,67.72975,1.2687657150268552
CIFAR-100 ResNeXt29-8x16d 200e,CA2FL,4,34.285,35.949,2.6469173638916015
CIFAR-100 ResNeXt29-8x16d 200e,AsyncSGD constant,4,71.13275,71.31925,1.147195320739746
