family,setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,source
MNIST,Base IID,AsyncSAM+RMS,10,98.2,0.4195235392680608,98.61999999999999,0.35156791662493875,0.06753650245666504,0.011043280413691669,0.050400388717651366,0.010434572930130842,mnist_validation
MNIST,Base IID,AsyncSGD,10,89.2800,1.2734,89.6900,1.1049,0.3713,0.0335,0.3684,0.0325,mnist_base
MNIST,Base IID,AsyncSGD+RMS,10,97.19,1.0558882516630292,97.86999999999999,0.5797413216254301,0.12178757400512694,0.07087846242823553,0.07628113708496094,0.015549594706550183,mnist_validation
MNIST,Base IID,FedAsync,10,89.27000000000001,1.2712592182556646,89.69000000000001,1.1103603018840331,0.3712462829589843,0.033465174887641766,0.36842557678222654,0.03253524218534591,mnist_validation
MNIST,Base IID,FedBuff,10,91.25000000000001,1.5402921800749332,92.16999999999999,0.9879777325425894,0.29041248321533203,0.03710078193423409,0.2710881607055664,0.029627236194183008,mnist_validation
MNIST,Base IID,FADAS,10,97.12,0.5963220606350225,97.26,0.5902541825349481,0.09445116195678711,0.013982594959097388,0.09366219635009766,0.014052857744110471,added_baselines
MNIST,Base IID,CA2FL,10,85.99,1.721307642462557,87.93,0.5197114584074498,0.48027764282226565,0.028249947965314118,0.46051966857910154,0.017607739505649356,added_baselines
MNIST,Base IID,AsyncSGD constant,10,94.72999999999999,1.063061616276307,95.00999999999999,0.9300000000000009,0.17390384216308594,0.030082677197253938,0.17110253143310547,0.0279665524258986,added_baselines
MNIST,Label-Sorted,AsyncSAM+RMS,10,93.45,4.099085263811912,96.78,1.1061645447219866,0.2609320556640625,0.2513137298773613,0.1040289421081543,0.03486338899286356,mnist_validation
MNIST,Label-Sorted,AsyncSGD+RMS,10,82.9,15.860012610335467,95.28,1.5561490931141506,1.7549500755310057,3.8421665344724194,0.14614607620239256,0.04514432128889106,mnist_validation
MNIST,Label-Sorted,FedAsync,10,74.16000000000001,9.252480748426335,83.08000000000001,1.3264991519032319,0.7834213928222656,0.22174420903172729,0.5802784118652342,0.024152736492444243,mnist_validation
MNIST,Label-Sorted,FedBuff,10,88.25,1.4284607099952054,89.71000000000001,0.8711486669908889,0.3829403381347657,0.04915506410871159,0.34762322998046874,0.0211133361708944,mnist_validation
