family,setting,AsyncSAM+RMS,AsyncSGD,FedAsync,FedBuff,FADAS,CA2FL,AsyncSGD constant
MNIST,Base IID,0.06753650245666504,0.3713,0.3712462829589843,0.29041248321533203,0.09445116195678711,0.48027764282226565,0.17390384216308594
MNIST,Label-Sorted,0.2609320556640625,,0.7834213928222656,0.3829403381347657,0.13286383590698242,0.528201953125,0.2435602996826172
MNIST,Dirichlet,0.11667011566162111,,0.6260688262939453,0.34999007263183585,0.12189728469848633,0.44541768798828124,0.21962356872558594
MNIST,High Delay,0.08309943580627441,,0.34946789855957033,0.2748854888916016,0.09656880874633789,0.44237693786621096,0.20422590332031249
MNIST,20 Workers,0.07503041706085205,,0.9989013549804688,0.48504294128417974,0.1615993148803711,0.7525418487548828,0.2288759521484375
CIFAR-10 ResNet18,Base IID,0.34440767578125,0.44072290466308595,0.4426056323242188,0.43214677215576175,0.45861219268798825,1.11168140625,0.44094944244384765
CIFAR-10 ResNet18,Label-Sorted,0.3424416778564453,0.45295282440185547,0.45039395202636723,0.4568073681640625,0.45221085235595704,1.086879541015625,0.44686327758789063
CIFAR-10 ResNet18,High Delay,0.34319304519653315,0.4421185006713867,0.4384546676635742,0.4251891873168946,0.44966755126953123,1.1491497363281251,0.4420579205322266
CIFAR-10 ResNet18,20 Workers T3/E200,0.5083095141601562,0.7072261999511719,0.7076883807373047,0.8224668743896485,0.6801379736328125,0.8420461651611328,0.48344177947998046
CIFAR-10 ResNet32,Base IID,0.3450009985351562,0.4247558181762695,0.4285253704833984,0.4593649145507812,0.49582510925292966,1.2458813452148436,0.42055303161621094
CIFAR-10 ResNet32,Label-Sorted,0.34105221099853517,0.4338791455078125,0.43728545410156255,0.516296655883789,0.5113258215332032,1.1941083520507814,0.4327401403808594
CIFAR-10 ResNet32,Dirichlet,0.3484175540161133,0.4381843249511719,0.4385927084350586,0.4937159927368165,0.5180192300415039,1.311945450439453,0.43937656188964846
CIFAR-10 ResNet32,High Delay,0.3414385855102539,0.4265323458862305,0.4317122064208984,0.48258604736328115,0.512720432434082,1.1859739697265625,0.43015211700439454
CIFAR-10 ResNet56,Base IID,0.32931077819824217,0.41814393798828126,0.4188989712524414,0.46009059814453124,0.5256461730957032,1.2477467724609375,0.4221222634887695
CIFAR-10 ResNet56,Label-Sorted,0.33240312561035157,0.43176157470703125,0.42376001770019533,0.4669409228515625,0.5196739471435547,1.1775139025878907,0.42536119659423827
CIFAR-10 ResNet56,Dirichlet,0.3408780889892578,0.430681770324707,0.42953643768310545,0.4728995895385742,0.5477701416015626,1.2063593518066407,0.4270784762573242
CIFAR-10 ResNet56,High Delay,0.3304801661682129,0.4173910946655274,0.4202173266601562,0.4584646606445312,0.5188249905395508,1.2382799291992188,0.42331556640625
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,1.0365291809082033,1.1746692584228517,1.1721924884033204,1.3137627258300781,1.3898920227050782,1.6241410571289063,1.1751472039794921
CIFAR-100 ResNet18 300e RA+RE+LS,Label-Sorted,1.0418291497802734,1.161122632446289,1.1599457189941407,1.3358460461425778,1.4077365393066406,1.623068670654297,1.1564357250976562
CIFAR-100 ResNet18 300e RA+RE+LS,Dirichlet,1.0288931420898435,1.1594426623535155,1.1614580999755861,1.3204380700683593,1.3974549438476562,1.6308380822753905,1.1676784771728517
CIFAR-100 ResNet18 300e RA+RE+LS,High Delay,1.0348403369140624,1.176324690551758,1.171745048828125,1.3433000634765626,1.3923806079101562,1.6432163293457032,1.1762761767578125
CIFAR-100 ResNeXt29-8x16d 200e,Base IID,0.994168955078125,1.1441331420898437,1.0769445343017578,1.1487414221191408,1.2727008642578124,2.6548108496093747,1.1411518347167968
CIFAR-100 ResNeXt29-8x16d 200e,Label-Sorted,0.9887304675292968,1.1525424182128907,1.0667825598144531,1.1615258203125,1.259196719970703,2.6345652294921873,1.1526259838867188
CIFAR-100 ResNeXt29-8x16d 200e,Dirichlet,0.9852469506835936,1.1503690722656248,1.0714792675781248,1.1325629919433593,1.274192109375,2.6390959741210938,1.1479869592285157
CIFAR-100 ResNeXt29-8x16d 200e,High Delay,0.9977294342041014,1.1486070678710938,1.0714000903320315,1.1480263787841798,1.2689731665039061,2.65919740234375,1.1470165051269532
