setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,missing_seeds
Base IID,AsyncSAM+RMS,10,74.735,0.5039097141353812,75.195,0.3850259731498641,1.0365291809082033,0.020584805293818,1.0198295288085937,0.016937657189398842,
Base IID,AsyncSGD,10,74.03999999999999,0.3468717342188609,74.204,0.3369035470279294,1.1746692584228517,0.018834753491032058,1.166122200317383,0.015632701882122565,
Base IID,FedAsync,10,74.08900000000001,0.32968014802229145,74.22299999999998,0.30877337968160284,1.1721924884033204,0.01012270328668314,1.166102817993164,0.010408148776507585,
Base IID,FedBuff,10,68.61999999999999,0.9383602719638128,69.9,0.3066920279368199,1.3137627258300781,0.04425824323389196,1.2387453735351561,0.011315922490989344,
Label-Sorted Non-IID,AsyncSAM+RMS,10,74.638,0.5229493283292339,74.888,0.43705377243538346,1.0418291497802734,0.012200065678825112,1.0282648986816407,0.0138747178808374,
Label-Sorted Non-IID,AsyncSGD,10,74.292,0.26373471519692193,74.423,0.26283264637407455,1.161122632446289,0.009880861650164096,1.157307700805664,0.00991692811011459,
Label-Sorted Non-IID,FedAsync,10,74.39099999999999,0.35582158450549234,74.534,0.3176224173448738,1.1599457189941407,0.016473134695553195,1.155354778442383,0.01398882844048333,
Label-Sorted Non-IID,FedBuff,10,68.35599999999998,1.4102070769925963,69.74,0.24943937139112748,1.3358460461425778,0.06490846437346759,1.247878757324219,0.010235297190198743,
Dirichlet Non-IID,AsyncSAM+RMS,10,74.96799999999999,0.24898995963693268,75.277,0.339530558271268,1.0288931420898435,0.012526297634208558,1.0140355291748047,0.01199676274292883,
Dirichlet Non-IID,AsyncSGD,10,74.224,0.30958682142494476,74.437,0.3558665480204629,1.1594426623535155,0.012261835083066545,1.1538145642089843,0.01254747469057397,
Dirichlet Non-IID,FedAsync,10,74.281,0.298946483504992,74.437,0.3572408151373544,1.1614580999755861,0.015014174914040059,1.1571490484619142,0.014299883051974877,
Dirichlet Non-IID,FedBuff,10,68.475,0.7600953887506477,69.831,0.12308127396155684,1.3204380700683593,0.0350436700211267,1.244357322998047,0.010687015246176027,
High Delay IID,AsyncSAM+RMS,10,74.813,0.5541128043999695,75.093,0.43811071660026835,1.0348403369140624,0.020121270830979608,1.0217091998291017,0.013667120594319558,
High Delay IID,AsyncSGD,10,74.08399999999999,0.29550634510954327,74.296,0.3250907565588441,1.176324690551758,0.014767906370283485,1.1671368579101562,0.01362902482722231,
High Delay IID,FedAsync,10,74.152,0.3710471668130598,74.308,0.3306901873355197,1.171745048828125,0.021038614677024777,1.1645434582519532,0.018344806320049884,
High Delay IID,FedBuff,10,68.163,0.928924647105458,69.81099999999999,0.40724562612752335,1.3433000634765626,0.040378568988662045,1.2517124169921874,0.0169440583091812,
